region_id,region_name_original,display_name_current,npa_match,lat,lng,name_changed,google_maps_name
189,"Bee Cave","Bee Cave — South","",30.1529,-97.9065,YES,""
190,"Canyon Creek","Canyon Creek","",30.4706,-97.8074,,""
191,"Four Points","Four Points","",30.4774,-97.8093,,""
192,"Southpark Meadows","Southpark Meadows","",30.0871,-97.7988,,""
193,"Southwood","Southwood — West","",30.1633,-97.7776,YES,""
194,"The Domain","Wooten — Southeast","WOOTEN",30.3600,-97.7217,YES,"Wooten"
195,"Westlake","West Oak Hill — West","WEST OAK HILL",30.2172,-97.9002,YES,"West Oak Hill"
198,"North Lamar / Rundberg Area","North Austin Civic Association — North","NORTH AUSTIN CIVIC ASSOCIATION",30.3813,-97.7086,YES,"North Austin Civic Association"
199,"Quail Creek","North Austin Civic Association — South","NORTH AUSTIN CIVIC ASSOCIATION",30.3567,-97.7090,YES,"North Austin Civic Association"
200,"North Shoal Creek","Balcones Woods — Inner North","",30.3963,-97.7017,YES,"Balcones Woods"
201,"North Burnet","North Burnet — South","",30.3879,-97.6998,YES,""
202,"Bouldin Creek","Sweetbriar — East","SWEETBRIAR",30.2005,-97.7702,YES,"Sweetbriar"
203,"Travis Country","West Oak Hill — East","WEST OAK HILL",30.2214,-97.8793,YES,"West Oak Hill"
205,"Zilker","Sweetbriar — West","SWEETBRIAR",30.2043,-97.7796,YES,"Sweetbriar"
206,"Georgian Acres","North Austin Civic Association — Northwest","NORTH AUSTIN CIVIC ASSOCIATION",30.3738,-97.6966,YES,"North Austin Civic Association"
207,"North Shoal Creek","North Austin Civic Association — Southwest","NORTH AUSTIN CIVIC ASSOCIATION",30.3634,-97.7028,YES,"North Austin Civic Association"
208,"Oak Hill","Oak Hill — North","",30.2117,-97.8407,YES,""
209,"Barton Hills","Barton Hills — Northeast","BARTON HILLS",30.2454,-97.7924,YES,""
210,"East Cesar Chavez","Downtown — East","DOWNTOWN",30.2593,-97.7399,YES,"Downtown"
212,"Zilker","Westgate — Southwest","WESTGATE",30.2238,-97.7977,YES,"Westgate"
213,"Westlake Hills","Garrison Park — Southeast #213","GARRISON PARK",30.2103,-97.8045,YES,"Garrison Park"
218,"Northwest Hills","Northwest Hills — West","",30.3592,-97.8278,YES,""
220,"Scofield Farms","Scofield Farms","",30.4177,-97.6482,,""
221,"Westlake Hills","Westlake Hills — Northwest #221","",30.2814,-97.8818,YES,""
222,"Northwood","Jester Estates — West","",30.4055,-97.7786,YES,"Jester Estates"
223,"Rosewood","St. John — North","ST. JOHN",30.3272,-97.6996,YES,"St. John"
224,"Cherry Creek","Cherry Creek — East","",30.1632,-97.7934,YES,""
225,"Southwood","Southwood — North","",30.1808,-97.7673,YES,""
227,"Montopolis","Montopolis — Northeast (Moderate)","",30.2392,-97.6416,YES,""
228,"St. Elmo","St. Elmo","",30.1896,-97.7151,,""
229,"Wells Branch","Wells Branch — South","",30.4304,-97.6622,YES,"Wells Branch"
230,"Lakeline","Lakeline","",30.4653,-97.7593,,""
233,"Redbud","Redbud","",30.2913,-97.8093,,""
234,"Regents","East Oak Hill — Northwest #234","EAST OAK HILL",30.2570,-97.8399,YES,"East Oak Hill"
235,"Yarabee Bend","Onion Creek","",30.1722,-97.7554,YES,"Onion Creek"
236,"Hyde Park East","Hyde Park — East","HYDE PARK",30.3092,-97.7170,YES,"Hyde Park"
237,"Montopolis","Montopolis — Northeast","",30.1994,-97.6447,YES,"Montopolis"
238,"Lost Creek","East Oak Hill — Northeast","EAST OAK HILL",30.2682,-97.8274,YES,"East Oak Hill"
239,"Rosedale","Allandale — Northeast","ALLANDALE",30.3256,-97.7445,YES,"Allandale"
240,"Hyde Park West","Triangle State — Northwest","TRIANGLE STATE",30.3150,-97.7258,YES,"Triangle State"
241,"Brentwood South","Brentwood — South","BRENTWOOD",30.3263,-97.7332,YES,"Brentwood"
242,"Cherrywood","Upper Boggy Creek — Southwest","UPPER BOGGY CREEK",30.2978,-97.7134,YES,"Upper Boggy Creek"
243,"Eanes Creek","Davenport Ranch — South","",30.2785,-97.7947,YES,"Davenport Ranch"
244,"Great Hills","Great Hills — North","",30.4870,-97.7843,YES,""
246,"St. Andrews","East Oak Hill — Southeast #246","EAST OAK HILL",30.2434,-97.8314,YES,"East Oak Hill"
247,"South Manchaca","South Manchaca — South","",30.0953,-97.7975,YES,""
